id,place_name,distance,카테고리,하위카테고리,평점,리뷰수,블로그수,phone,place_url,address_name,x,y
1957406821,일식미요이,674,일식,-,4.4,28,116,031-239-3398,http://place.map.kakao.com/1957406821,경기 수원시 권선구 권선동 1028-1,127.027593513915,37.2586589458893
14489680,원조기계우동짜장,495,일식," 돈까스,우동",4.4,5,34,031-237-7144,http://place.map.kakao.com/14489680,경기 수원시 팔달구 인계동 1134-9,127.03378404038142,37.257573386582976
683988899,오늘초밥 인계본점,1223,일식," 초밥,롤",3.7,61,179,070-7783-5555,http://place.map.kakao.com/683988899,경기 수원시 팔달구 인계동 1119-11,127.03362924815389,37.264376302206266
1260567351,백호초밥,97,일식," 초밥,롤",5.0,4,0,,http://place.map.kakao.com/1260567351,경기 수원시 권선구 권선동 1251,127.03046826789308,37.25354482005515
27298479,포동이네 수원인계동점,1203,일식," 초밥,롤",3.4,62,48,031-214-4988,http://place.map.kakao.com/27298479,경기 수원시 팔달구 인계동 1043-13,127.030078006834,37.2642583201094
485435683,마루면가 본점,710,일식," 돈까스,우동",3.3,8,244,031-267-1777,http://place.map.kakao.com/485435683,경기 수원시 팔달구 인계동 1131,127.03162404234548,37.25987704895281
774886108,미나미참치,1207,일식, 참치회,4.1,27,147,,http://place.map.kakao.com/774886108,경기 수원시 팔달구 인계동 1118-7,127.03621059048923,37.26370876969536
602978283,마초,1285,일식," 초밥,롤",0,902,0,031-222-9555,http://place.map.kakao.com/602978283,경기 수원시 팔달구 인계동 1116-13,127.036116259418,37.2644764863859
1760238867,도래반돈까스,188,일식," 돈까스,우동",4.2,6,18,031-222-8209,http://place.map.kakao.com/1760238867,경기 수원시 권선구 권선동 1255-3,127.02955499581331,37.25293414385119
24925765,묘오또 수원점,1089,일식," 돈까스,우동",4.3,65,113,031-222-4827,http://place.map.kakao.com/24925765,경기 수원시 팔달구 인계동 1044-12,127.030460904724,37.2632526591483
712559787,다함 권선점,369,일식,-,3.4,7,15,,http://place.map.kakao.com/712559787,경기 수원시 권선구 권선동 1039-14,127.030120049957,37.2565958424397
1097459935,혜화동돈까스극장 수원시청점,734,일식," 돈까스,우동",4.2,5,13,031-221-9129,http://place.map.kakao.com/1097459935,경기 수원시 팔달구 인계동 1127-5,127.03395976911756,37.25980792280112
252683341,깡우동 수원권선시장점,713,일식," 돈까스,우동 ",4.0,4,40,031-304-9798,http://place.map.kakao.com/252683341,경기 수원시 권선구 권선동 1061-8,127.02395254775,37.2555475352162
9021512,명가참치,1251,일식, 참치회,4.2,32,43,031-233-0419,http://place.map.kakao.com/9021512,경기 수원시 팔달구 인계동 1042-3,127.03096882233667,37.26474645524423
7883218,미소야 수원권선점,560,일식," 돈까스,우동 ",3.3,4,13,031-267-0399,http://place.map.kakao.com/7883218,경기 수원시 권선구 권선동 1296-7,127.035446349864,37.2494977467659
2082288727,고베규카츠 수원인계점,1211,일식," 돈까스,우동",0,2594,0,031-233-4620,http://place.map.kakao.com/2082288727,경기 수원시 팔달구 인계동 1118-12,127.034943607038,37.2640587547686
1412296170,하루인 인계직영점,1156,일식,-,4.4,16,243,031-224-6588,http://place.map.kakao.com/1412296170,경기 수원시 팔달구 인계동 1121-3,127.035443858583,37.2634278765499
68424387,2005진돈가스 수원직영점,524,일식," 돈까스,우동",4.0,11,15,031-221-9507,http://place.map.kakao.com/68424387,경기 수원시 권선구 권선동 1287-12,127.037025402449,37.2516525612025
706695939,더미락,780,일식, 일식집,5.0,1,0,031-236-0546,http://place.map.kakao.com/706695939,경기 수원시 권선구 권선동 1057-5,127.02349511975,37.2562819772265
1264987593,오마카세,871,일식, 일식집,4.3,7,40,031-222-0320,http://place.map.kakao.com/1264987593,경기 수원시 권선구 권선동 1004,127.022514488922,37.2565182411024
897852833,참치더테이블,871,일식, 참치회,3.7,3,0,031-222-0320,http://place.map.kakao.com/897852833,경기 수원시 권선구 권선동 1004,127.022513363821,37.2565254496627
18417983,우미참치 인계점,1475,일식, 참치회,3.6,13,101,031-221-2247,http://place.map.kakao.com/18417983,경기 수원시 팔달구 인계동 1034-16,127.03030446912123,37.26672891927829
1875046489,이츠모라멘 수원점,1125,일식, 일본식라면,4.2,33,127,,http://place.map.kakao.com/1875046489,경기 수원시 팔달구 인계동 1121-9,127.035320855513,37.2631666110616
264565917,상무초밥 수원인계점,1269,일식," 초밥,롤",4.3,26,1398,031-224-9333,http://place.map.kakao.com/264565917,경기 수원시 팔달구 인계동 1038-4,127.0327839406051,37.26487211241343
587944775,푸릴리 수원권선점,1408,일식," 돈까스,우동",0,38,0,070-7799-3762,http://place.map.kakao.com/587944775,경기 수원시 권선구 권선동 939-6,127.022474968534,37.26388156982575
11063635,미소야 수원시청점,801,일식," 돈까스,우동 ",4.5,8,22,031-225-3613,http://place.map.kakao.com/11063635,경기 수원시 권선구 권선동 1023-2,127.031167823788,37.2606935146167
1990758879,이치방하카타식당,740,일식,-,4.3,4,127,,http://place.map.kakao.com/1990758879,경기 수원시 권선구 권선동 1057-8,127.02396403641,37.2562305237798
26937903,수원참치,561,일식, 참치회,3.0,4,0,031-212-9603,http://place.map.kakao.com/26937903,경기 수원시 권선구 권선동 1049,127.02585873375708,37.255656160517056
721734648,흰고래연어육회 수원인계점,901,일식,-,5.0,1,12,,http://place.map.kakao.com/721734648,경기 수원시 권선구 권선동 1031,127.02426819318936,37.25912551335789
458408252,호르몬치치,1260,일식,-,4.5,18,114,010-4241-3592,http://place.map.kakao.com/458408252,경기 수원시 팔달구 인계동 1041-11,127.031734341977,37.2648327525628
27217632,테루 NC수원터미널점,1095,일식," 돈까스,우동",3.0,18,62,031-8065-3880,http://place.map.kakao.com/27217632,경기 수원시 권선구 권선동 1189,127.019910019592,37.2502186095943
1930851576,정참치,1291,일식, 참치회,4.0,8,0,031-237-0432,http://place.map.kakao.com/1930851576,경기 수원시 팔달구 인계동 1038-10,127.032151582635,37.2651002494603
629898454,스시아키라,1194,일식, 일식집,3.6,34,146,,http://place.map.kakao.com/629898454,경기 수원시 팔달구 인계동 1030-6,127.02966985321405,37.26413407928565
1446267462,오마카세 스시이찌 수원신동점,1286,일식, 일식집,4.7,22,282,0507-1446-5802,http://place.map.kakao.com/1446267462,경기 수원시 영통구 신동 933-8,127.04379716877166,37.24725135171168
23381383,팔미낙지한마리수제비,452,일식,-,0,0,0,,http://place.map.kakao.com/23381383,경기 수원시 권선구 권선동 1296-5,127.03470278693,37.250262052567
